Kode;Nama Kereta;Kode Kereta;Stasiun Asal;Kode Stasiun Asal;Stasiun Tujuan;KodeStasiunTujuan;Kelas;Jenis Rangkaian;Kode Kelas;Jam Berangkat;Jam Sampai;Durasi (menit);Harga (Rp);Jumlah Stasiun Pemberhentian
74B-PSE-JNG-CC;FAJAR UTAMA SOLO;74B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Stainless Steel;CC;05:40;05:50;10;340.000;0
74B-PSE-JNG-AC;FAJAR UTAMA SOLO;74B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Stainless Steel;AC;05:40;05:50;10;450.000;0
114C-PSE-JNG-CA;SAWUNGGALIH;114C;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Modifikasi;CA;06:30;06:40;10;150.000;0
114C-PSE-JNG-AA;SAWUNGGALIH;114C;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif New Generation Mild Steel;AA;06:30;06:40;10;230.000;0
178B-PSE-JNG-CA;TAWANG JAYA PREMIUM;178B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CA;06:45;06:56;11;175.000;0
178B-PSE-JNG-AA;TAWANG JAYA PREMIUM;178B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Premium Modifikasi Mild Steel;AA;06:45;06:56;11;310.000;0
106B-PSE-JNG-CC;GAJAHWONG;106B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CC;07:55;08:05;10;280.000;0
106B-PSE-JNG-AC;GAJAHWONG;106B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Stainless Steel;AC;07:55;08:05;10;415.000;0
166-PSE-JNG-CC;DHARMAWANGSA EKSPRES;166;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CC;08:10;08:19;9;225.000;0
166-PSE-JNG-AC;DHARMAWANGSA EKSPRES;166;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AC;08:10;08:19;9;345.000;0
282-PSE-JNG-C;BENGAWAN;282;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Mild Steel PSO;C;08:55;09:06;11;70.000;0
256B-PSE-JNG-CC;JAKA TINGKIR;256B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Ekonomi Modifikasi;CC;11:50;12:00;10;340.000;0
146-PSE-JNG-CD;BLAMBANGAN EKSPRES;146;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Stainless Steel;CD;12:10;12:21;11;120.000;0
146-PSE-JNG-AC;BLAMBANGAN EKSPRES;146;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif New Generation Stainless Steel;AC;12:10;12:21;11;165.000;0
162-PSE-JNG-CC;BANGUNKARTA;162;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CC;12:25;12:35;10;235.000;0
